                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0347,                 11.114,                 1.3838,                 1.1352,                0.68325,                0.51632,                0.59823,                0.44124,                0.31721,                0.23142,                0.22591,                0.07769,                 1.0951,                 5.1261,                 1.1541,                 1.1363,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 1.1473,                 9.9662,                 1.4562,                 1.2029,                0.68333,                0.51833,                 0.6104,                0.45034,                0.35856,                0.25224,                0.26424,                0.09001,                 1.0853,                 5.1223,                   1.13,                 1.1316,              1.196e-05,              1.196e-05,              1.196e-05
                      3,                 1.1481,                 9.4143,                 1.3758,                 1.1904,                0.62286,                0.55934,                0.61193,                0.45074,                0.29856,                0.24989,                 0.2419,                0.08901,                 1.0807,                 5.1196,                  1.118,                 1.1293,             9.3058e-06,             9.3058e-06,             9.3058e-06
